source_platform,label,root_cause,attack_path,severity,authority_tier,title,source_url
alphawallet-android,other,other,unknown,Unrated,B_corroborated,Avoid HomeActivity.onWalletName getFragment() indexOutOfBounds crash.,https://github.com/AlphaWallet/alpha-wallet-android/pull/2680
alphawallet-android,storage,untrusted_code_execution,unknown,Unrated,B_corroborated,Fix Realm update crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/2634
alphawallet-android,other,other,unknown,Unrated,B_corroborated,Fix activity history crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/2569
alphawallet-android,other,other,unknown,Unrated,B_corroborated,Fix for crash when there's no favourites,https://github.com/AlphaWallet/alpha-wallet-android/pull/2093
alphawallet-android,other,other,unknown,Unrated,B_corroborated,Crash fixes,https://github.com/AlphaWallet/alpha-wallet-android/pull/1957
alphawallet-android,other,other,unknown,Unrated,C_candidate,Close issues reported from Firebase crash analysis data.,https://github.com/AlphaWallet/alpha-wallet-android/pull/1741
alphawallet-android,other,other,malicious_deeplink_or_qr,Unrated,B_corroborated,Fix my address activity crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/1342
alphawallet-android,storage,other,malicious_pairing_session,Unrated,B_corroborated,Fix for occaisional crash in the migration class,https://github.com/AlphaWallet/alpha-wallet-android/pull/1368
alphawallet-android,other,other,unknown,Unrated,B_corroborated,Fix crash from crashlytics,https://github.com/AlphaWallet/alpha-wallet-android/pull/925
alphawallet-android,other,other,unknown,Unrated,B_corroborated,Fix null symbol crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/926
alphawallet-android,sign:curve-primitives,race_condition,malformed_input,Unrated,B_corroborated,Ensure bad biginteger doesn't crash app,https://github.com/AlphaWallet/alpha-wallet-android/pull/934
alphawallet-android,other,crypto_misuse,unknown,Unrated,B_corroborated,Fix crash issue when Script doesn't contain holding name,https://github.com/AlphaWallet/alpha-wallet-android/pull/878
alphawallet-android,network-io,unhandled_error_or_nil,unknown,Unrated,B_corroborated,Fix ERC20DetailActivity crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/757
alphawallet-android,serialization,serialization_bug,malformed_input,Unrated,B_corroborated,Fix for URL crash when certain URLs are added,https://github.com/AlphaWallet/alpha-wallet-android/pull/697
alphawallet-android,other,other,unknown,Unrated,B_corroborated,Fix crash in wallet update,https://github.com/AlphaWallet/alpha-wallet-android/pull/512
alphawallet-android,network-io,other,unknown,Unrated,B_corroborated,Prevent null token import crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/511
alphawallet-android,other,other,unknown,Unrated,B_corroborated,Fix add bookmark crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/491
alphawallet-android,other,other,unknown,Unrated,B_corroborated,Fix transaction view crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/456
alphawallet-android,key:backup-restore,other,unknown,Info,B_corroborated,Fix backup screen view inflate crash,https://github.com/AlphaWallet/alpha-wallet-android/commit/10dca75c3a58675a598079801f5a88ba3b501565
alphawallet-android,test,other,unknown,Unrated,B_corroborated,Fixed crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/196
alphawallet-android,network-io,other,unknown,Unrated,B_corroborated,Fix tabutils crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/222
alphawallet-android,other,other,unknown,Unrated,B_corroborated,Fix for systemview crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/260
alphawallet-android,transport:permissions,other,malicious_deeplink_or_qr,Unrated,B_corroborated,Fix qr scan crash,https://github.com/AlphaWallet/alpha-wallet-android/pull/210
alphawallet-android,other,resource_exhaustion,unknown,Unrated,B_corroborated,Fix Memory leak,https://github.com/AlphaWallet/alpha-wallet-android/pull/2028
alphawallet-android,network-io,resource_exhaustion,hostile_network_or_rpc,Unrated,B_corroborated,Fix DappBrowser memory leak,https://github.com/AlphaWallet/alpha-wallet-android/pull/2030
alphawallet-android,other,resource_exhaustion,unknown,Info,B_corroborated,Fix memory leak highlighted by leak canary,https://github.com/AlphaWallet/alpha-wallet-android/commit/33415270e41192c66bd072457ebe4fa91bae52dd
alphawallet-android,other,race_condition,unknown,Unrated,B_corroborated,Fix NFT Detail race condition,https://github.com/AlphaWallet/alpha-wallet-android/pull/3301
alphawallet-android,other,race_condition,unknown,Unrated,B_corroborated,Fix race condition with using Token Shortcuts,https://github.com/AlphaWallet/alpha-wallet-android/pull/3283
alphawallet-android,storage,race_condition,unknown,Unrated,B_corroborated,Fix asset instance race condition,https://github.com/AlphaWallet/alpha-wallet-android/pull/1234
alphawallet-ios,build-ci,broken_access_control,unknown,High,A_authoritative,[Security] Update CODEOWNERS to include additional critical sections o,https://github.com/AlphaWallet/alpha-wallet-ios/commit/3d72096d9b1ef74171160472175f98ef9848a925
alphawallet-ios,build-ci,other,unknown,Info,A_dependency,Fix: GitHub security warning for JavaScript packages:,https://github.com/AlphaWallet/alpha-wallet-ios/commit/c669c608555d187c7d1c73456843cbaf1a61edd4
alphawallet-ios,other,other,unknown,Info,A_dependency,Fix: GitHub security warning for rubyzip gem CVE-2019-16892,https://github.com/AlphaWallet/alpha-wallet-ios/commit/6a2abdefa49b34632e90bf571e1c0de008fb1348
alphawallet-ios,build-ci,other,unknown,Info,A_dependency,Fix: vulnerability found by GitHub: CVE-2021-3807,https://github.com/AlphaWallet/alpha-wallet-ios/commit/31a75899f11213ae47318e756ec3c7347bcd8915
alphawallet-ios,build-ci,other,unknown,Info,A_dependency,Fix: vulnerability found by GitHub: CVE-2021-23440,https://github.com/AlphaWallet/alpha-wallet-ios/commit/78337559698daa20afa539e288bb6854b4440ae6
alphawallet-ios,other,other,unknown,Info,A_dependency,Fix: vulnerability found by GitHub: GHSA-jxhc-q857-3j6g,https://github.com/AlphaWallet/alpha-wallet-ios/commit/d21d0c60f1fb9939e0d3e3109b728e82148d69e3
alphawallet-ios,build-ci,other,unknown,Info,A_dependency,Fix: vulnerability found by GitHub: CVE-2020-7774,https://github.com/AlphaWallet/alpha-wallet-ios/commit/2a2b155ca098d6b4bf651ae78df5388cfb1985c6
alphawallet-ios,build-ci,other,unknown,Info,A_dependency,Fix: vulnerability found by GitHub: CVE-2021-27290,https://github.com/AlphaWallet/alpha-wallet-ios/commit/05ec62ec1d67ae4e86a19b0c26caa31ca947dc25
alphawallet-ios,other,other,unknown,Info,A_dependency,Fix: vulnerability found by GitHub: GHSA-q58g-455p-8vw9,https://github.com/AlphaWallet/alpha-wallet-ios/commit/ecd8ff9ee9cf4af17fd05cc9201d529a06b65b03
alphawallet-ios,build-ci,other,unknown,Info,A_dependency,Update `npm` version (development use only) to not rely on vulnerable ,https://github.com/AlphaWallet/alpha-wallet-ios/commit/156f79e132a16d9b516d72b3dacad0ccbc8137ad
alphawallet-ios,other,other,unknown,Info,A_dependency,Fix vulnerabilities by GitHub for cocoapods-downloader CVE-2022-24440 ,https://github.com/AlphaWallet/alpha-wallet-ios/commit/d9ba813a04df82449c9d7fbc8e9b30c4bf6b456b
alphawallet-ios,network-io,other,unknown,Info,A_dependency,"Fix vulnerabilities by GitHub for node-fetch, mimimist CVE-2022-0235, ",https://github.com/AlphaWallet/alpha-wallet-ios/commit/6acf3ecf3e4194fe5ad182be05869d8604b5f50d
alphawallet-ios,build-ci,serialization_bug,malformed_input,Info,A_dependency,Fix vulnerabilities by GitHub for parse-link-header CVE-2021-23490,https://github.com/AlphaWallet/alpha-wallet-ios/commit/1b48d7609f9916beb169287a9e82abf1317a3cf7
alphawallet-ios,build-ci,other,unknown,Info,A_dependency,Fix vulnerabilities by GitHub for json-schema CVE-2021-3918,https://github.com/AlphaWallet/alpha-wallet-ios/commit/8efb9dced8c472e8361b86eebc16f8a636c10490
alphawallet-ios,build-ci,crypto_misuse,unknown,Info,A_dependency,Fix vulnerabilities by GitHub for jsonpointer CVE-2021-23807,https://github.com/AlphaWallet/alpha-wallet-ios/commit/a906980ed2f91e4794fc8d7b25d4e2bead39132e
alphawallet-ios,network-io,improper_state_update,unknown,Unrated,B_corroborated,Fix: crash when disabling chains,https://github.com/AlphaWallet/alpha-wallet-ios/pull/7085
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix: crash sometimes in list of wallets view,https://github.com/AlphaWallet/alpha-wallet-ios/pull/7062
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix: crash,https://github.com/AlphaWallet/alpha-wallet-ios/pull/6916
alphawallet-ios,transport:deeplink,other,malicious_deeplink_or_qr,Info,B_corroborated,[Attestation] Fix reproducible crash (especially on simulator) when im,https://github.com/AlphaWallet/alpha-wallet-ios/commit/3d2933ab3959bbca3b3822395590ded627b6d205
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,[Attestation] Fix: not crash if schema is empty,https://github.com/AlphaWallet/alpha-wallet-ios/pull/6855
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,fix crash when dublicates appear in transactions,https://github.com/AlphaWallet/alpha-wallet-ios/pull/6836
alphawallet-ios,network-io,other,hostile_network_or_rpc,Unrated,B_corroborated,filter localized operation object to avoid crash when dublicates appea,https://github.com/AlphaWallet/alpha-wallet-ios/pull/6828
alphawallet-ios,serialization,other,unknown,Unrated,B_corroborated,fix crash when with rlp encoding,https://github.com/AlphaWallet/alpha-wallet-ios/pull/6716
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,"remove duplicate messages on console screen, those caused app crash #6",https://github.com/AlphaWallet/alpha-wallet-ios/pull/6789
alphawallet-ios,ui:display-integrity,user_deception,unknown,Unrated,B_corroborated,"Fix crash when displaying swap, buy crypto popups #6444",https://github.com/AlphaWallet/alpha-wallet-ios/pull/6451
alphawallet-ios,key:backup-restore,improper_state_update,unknown,Unrated,B_corroborated,fix crash on accounts screen #6298,https://github.com/AlphaWallet/alpha-wallet-ios/pull/6299
alphawallet-ios,transport:provider-injection,other,unknown,Unrated,B_corroborated,Fix bad access crash for fetchOlderTransactions #6251,https://github.com/AlphaWallet/alpha-wallet-ios/pull/6252
alphawallet-ios,platform:mobile-hardening,user_deception,unknown,Unrated,C_candidate,[Crash Reporting] Let user display crash reporting,https://github.com/AlphaWallet/alpha-wallet-ios/pull/5964
alphawallet-ios,transport:provider-injection,other,unknown,Unrated,B_corroborated,"Fix bad access crash for FetchLatestTransactionsOperation, AutoDetectT",https://github.com/AlphaWallet/alpha-wallet-ios/pull/6250
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,fix crash when accessing backing store,https://github.com/AlphaWallet/alpha-wallet-ios/pull/5896
alphawallet-ios,ui:transaction-preview,excessive_spend_authority,unknown,Unrated,B_corroborated,No longer use a private queue for GetBlockTimestamp. Simpler and possi,https://github.com/AlphaWallet/alpha-wallet-ios/pull/6007
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,add safe init with json for Data to avoid crash when json is invalid #,https://github.com/AlphaWallet/alpha-wallet-ios/pull/6021
alphawallet-ios,serialization,serialization_bug,unknown,Unrated,B_corroborated,"avoid accessing token id by index, for non fungible screen, to avoid n",https://github.com/AlphaWallet/alpha-wallet-ios/pull/6296
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix crash when enter value bigger than Int.max for amount text field #,https://github.com/AlphaWallet/alpha-wallet-ios/pull/5929
alphawallet-ios,transport:provider-injection,improper_state_update,hostile_network_or_rpc,Unrated,B_corroborated,Fix bad access crash for apollo #5562,https://github.com/AlphaWallet/alpha-wallet-ios/pull/5563
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix crash #5338,https://github.com/AlphaWallet/alpha-wallet-ios/pull/5339
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix: crash when certain chains are enabled,https://github.com/AlphaWallet/alpha-wallet-ios/pull/5458
alphawallet-ios,network-io,integer_overflow_underflow,unknown,Info,B_corroborated,Fix number overflow crash while when fetching erc1155 tokens #5550,https://github.com/AlphaWallet/alpha-wallet-ios/commit/43e56655356615f7851cdcb71d8c3a82e3359e7a
alphawallet-ios,other,other,unknown,Unrated,C_candidate,"Enable Crashlytics for tests, and disable crash collection for tests #",https://github.com/AlphaWallet/alpha-wallet-ios/pull/5564
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix: Add / Hide Tokens crash,https://github.com/AlphaWallet/alpha-wallet-ios/pull/5292
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix crash on app launch Thread 1: Simultaneous accesses to 0x11a4e5158,https://github.com/AlphaWallet/alpha-wallet-ios/pull/5771
alphawallet-ios,sign:verification,signature_verification_flaw,unknown,Unrated,B_corroborated,Fix crash when creating xmlHandler #5319,https://github.com/AlphaWallet/alpha-wallet-ios/pull/5321
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix: crash when tap Add / Hide Tokens,https://github.com/AlphaWallet/alpha-wallet-ios/pull/5299
alphawallet-ios,other,other,unknown,Unrated,C_candidate,Crash on update activity #5119,https://github.com/AlphaWallet/alpha-wallet-ios/pull/5120
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,"Fix crash when getting value call subscribe, when _value is dictionary",https://github.com/AlphaWallet/alpha-wallet-ios/pull/5322
alphawallet-ios,transport:rpc-surface,unhandled_error_or_nil,malicious_pairing_session,Unrated,B_corroborated,"Fix crash for selected rpc server in dapp browser, (remove force unwra",https://github.com/AlphaWallet/alpha-wallet-ios/pull/5352
alphawallet-ios,storage,other,unknown,Unrated,B_corroborated,"Fix crash Access realm on incorrect thread, when selection token for s",https://github.com/AlphaWallet/alpha-wallet-ios/pull/5185
alphawallet-ios,other,unsafe_initialization_or_upgrade,unknown,Unrated,B_corroborated,Crash while/right after deleting wallet in list of wallet screen #5076,https://github.com/AlphaWallet/alpha-wallet-ios/pull/5086
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,"Filter activities to avoid duplicate activity id, to avoid crash #5104",https://github.com/AlphaWallet/alpha-wallet-ios/pull/5105
alphawallet-ios,other,broken_access_control,malicious_pairing_session,Unrated,B_corroborated,Fix: crash when mainnet is not enabled #4791,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4792
alphawallet-ios,storage,unsafe_initialization_or_upgrade,unknown,Unrated,B_corroborated,Fix crash when migrate bookmarks #4563,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4564
alphawallet-ios,other,unsafe_initialization_or_upgrade,unknown,Unrated,B_corroborated,Crash when scrolling Wallet tab because of OOM (out of memory) #4856,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4858
alphawallet-ios,key:storage,other,unknown,Info,B_corroborated,"Fix: Should show an error instead of crash when importing an invalid """,https://github.com/AlphaWallet/alpha-wallet-ios/commit/f3ca2bc78a7803f1eb6af6aaaafc19394eeb1cc2
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix crash on bad access for Oneinch #4609,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4610
alphawallet-ios,storage,other,unknown,Unrated,B_corroborated,Fix crash when writing data to realm in background #4681,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4682
alphawallet-ios,approval:delegation,excessive_spend_authority,unknown,Unrated,C_candidate,Add Firebase crash reports,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4305
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix crash on update activity #4413,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4414
alphawallet-ios,other,unhandled_error_or_nil,unknown,Unrated,B_corroborated,"Fixes unbalances calls of beginBackgroundTask and endBackgroundTask, f",https://github.com/AlphaWallet/alpha-wallet-ios/pull/4396
alphawallet-ios,storage,improper_state_update,malicious_pairing_session,Unrated,B_corroborated,Realm access on incorrect thread crash #4475,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4476
alphawallet-ios,key:storage,broken_access_control,unknown,Unrated,B_corroborated,"Fix testsuite, make tests fails, instead of crash",https://github.com/AlphaWallet/alpha-wallet-ios/pull/4412
alphawallet-ios,other,improper_state_update,unknown,Unrated,B_corroborated,Suppose to fix crash when update nft balance #4429,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4430
alphawallet-ios,network-io,race_condition,unknown,Unrated,B_corroborated,Fix crash because dictionary property in `AssetAttributesCache` is acc,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4811
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix crash when subscribe for activities is too early #4420,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4421
alphawallet-ios,other,other,unknown,Unrated,C_candidate,Enable firebase crash report enabled by default #4319,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4320
alphawallet-ios,other,other,malicious_pairing_session,Unrated,B_corroborated,Fix crash when trying to get session of unavailable server #4418,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4419
alphawallet-ios,key:storage,other,unknown,Info,B_corroborated,"Reduce global usage of keystore.currentWallet, causes crash sometimes.",https://github.com/AlphaWallet/alpha-wallet-ios/commit/ad0b9a16d7dfda1e10b8993b9ab1bdefde6ad383
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix: OpenSea CallCounter crash because it's not threadsafe and accessi,https://github.com/AlphaWallet/alpha-wallet-ios/pull/4483
alphawallet-ios,key:backup-restore,other,unknown,Info,B_corroborated,Fix: crash when prompted for wallet backup when received eth. Was upda,https://github.com/AlphaWallet/alpha-wallet-ios/commit/03257e440d89b7519dbb154c671927eb16112c18
alphawallet-ios,storage,improper_state_update,unknown,Unrated,B_corroborated,Fix: crash after posting transaction,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3996
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix crash when send non fungible #3959,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3960
alphawallet-ios,storage,unsafe_initialization_or_upgrade,unknown,Unrated,B_corroborated,"After a crash during unit testing, the app cannot start up #3669",https://github.com/AlphaWallet/alpha-wallet-ios/pull/3720
alphawallet-ios,other,missing_bounds_check,unknown,Unrated,B_corroborated,Fix index out of range crash on tokenHolders[0] inActivitiesService #3,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3074
alphawallet-ios,network-io,signature_verification_flaw,unknown,Unrated,B_corroborated,Installed Ruby 3 via rbenv to fix makefile cocoapods crashes when --up,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3543
alphawallet-ios,key:storage,other,unknown,Unrated,B_corroborated,Fix crash while creating a new wallet #3193,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3194
alphawallet-ios,key:storage,crypto_misuse,unknown,Unrated,B_corroborated,Fix crash while adding a new watch wallet #3198,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3199
alphawallet-ios,network-io,other,unknown,Unrated,B_corroborated,Fix crash on loading CoinTickers #3119,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3120
alphawallet-ios,other,other,unknown,Unrated,C_candidate,Crash when there's a request for EIP3085 `wallet_addEthereumChain` on ,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3336
alphawallet-ios,transport:rpc-surface,other,hostile_network_or_rpc,Unrated,B_corroborated,Fix: crash if RPC URL in EIP3085 is not a valid URL,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3240
alphawallet-ios,network-io,other,unknown,Unrated,C_candidate,Crash when fetching events #3046,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3048
alphawallet-ios,other,other,unknown,Unrated,C_candidate,Workaround crash if app launches with no chain selected (no idea why t,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3220
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix: crash when tap on Collectibles sub-tab in Wallet tab,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3090
alphawallet-ios,approval:delegation,excessive_spend_authority,unknown,Unrated,B_corroborated,Fix: crash in transaction data decoding,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3036
alphawallet-ios,other,unhandled_error_or_nil,unknown,Unrated,B_corroborated,Fixes crash of `null pointer` when switch bettwen wallets  #3011,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3065
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Watching an invalid Ethereum address should not crash #3029,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3032
alphawallet-ios,storage,other,unknown,Unrated,B_corroborated,"Fix: Realm crash because: ""Realm accessed from incorrect thread.""",https://github.com/AlphaWallet/alpha-wallet-ios/pull/3028
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Crash when tap to show a Hidden Token in Add / Hide Tokens screen #293,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2946
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Refactor `EventSourceCoordinator` and `EventSourceCoordinatorForActivi,https://github.com/AlphaWallet/alpha-wallet-ios/pull/3063
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Attempt to fix crash in web3swift,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2702
alphawallet-ios,other,improper_state_update,unknown,Unrated,B_corroborated,Fix: crash when we write and then read OpenSea data which is empty for,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2801
alphawallet-ios,network-io,improper_state_update,hostile_network_or_rpc,Unrated,B_corroborated,Fix: crash sometimes right after switch networks if price is refreshed,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2803
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix crash my wallet if mainnet disabled,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2689
alphawallet-ios,network-io,other,hostile_network_or_rpc,Unrated,B_corroborated,Fix: crash when taking a video during KYC for ramp.network,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2694
alphawallet-ios,transport:walletconnect,other,malicious_deeplink_or_qr,Unrated,B_corroborated,WalletConnect using mobile linking crashes if the chain is disabled #2,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2614
alphawallet-ios,other,improper_state_update,malformed_input,Unrated,B_corroborated,Crash with large wallet #2341,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2365
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Crash sometimes when searching in Activity tab #2281,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2283
alphawallet-ios,other,improper_state_update,unknown,Unrated,B_corroborated,Fix: crash when sending eth,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2235
alphawallet-ios,serialization,other,unknown,Unrated,B_corroborated,Fix: Crash if tap camera button while importing a wallet while onboard,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2356
alphawallet-ios,other,other,unknown,Unrated,B_corroborated,Fix crash #2190,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2191
alphawallet-ios,ui:display-integrity,user_deception,malicious_deeplink_or_qr,Unrated,B_corroborated,Hotfix: Crash if tap camera button while importing a wallet while onbo,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2353
alphawallet-ios,transport:webview,other,unknown,Unrated,B_corroborated,Fix: crash when opening TokenScript views,https://github.com/AlphaWallet/alpha-wallet-ios/pull/2086
alphawallet-ios,transport:webview,other,unknown,Unrated,B_corroborated,Fix: crash when scrolling TokenScript views,https://github.com/AlphaWallet/alpha-wallet-ios/pull/1606
alphawallet-ios,storage,other,unknown,Unrated,B_corroborated,Fix: App crash with Xcode 11 due to Realm,https://github.com/AlphaWallet/alpha-wallet-ios/pull/1632
alphawallet-ios,crypto-primitives,integer_overflow_underflow,unknown,Unrated,B_corroborated,Fix: add defensive check to avoid crash when attempting to update nati,https://github.com/AlphaWallet/alpha-wallet-ios/pull/1658
alphawallet-ios,other,crypto_misuse,unknown,Unrated,B_corroborated,Fix: crash when scrolling assets because collection view is silently l,https://github.com/AlphaWallet/alpha-wallet-ios/pull/1669
alphawallet-ios,network-io,missing_input_validation,malformed_input,Unrated,B_corroborated,Fix: crash when etherscan API returns malformed ERC20 transfer transac,https://github.com/AlphaWallet/alpha-wallet-ios/pull/1498
alphawallet-ios,transport:deeplink,other,malicious_deeplink_or_qr,Unrated,B_corroborated,Fix: crash when user taps http(s)://aw.app(/),https://github.com/AlphaWallet/alpha-wallet-ios/pull/1448
alphawallet-ios,transport:deeplink,user_deception,malicious_deeplink_or_qr,Unrated,B_corroborated,Fix: crash when MagicLink is truncated,https://github.com/AlphaWallet/alpha-wallet-ios/pull/1379
alphawallet-ios,network-io,other,hostile_network_or_rpc,Unrated,B_corroborated,Fix: crash due to infinite recursion when dapp browser's selected netw,https://github.com/AlphaWallet/alpha-wallet-ios/pull/1483
